data_inizio,data_fine,Brand,Percentuale_Sconto,Modello
2022-03-13,2022-03-20 14:50:14 UTC,Acura,18,CL
2021-12-20,2021-12-23 07:14:56 UTC,Chevrolet,23,Suburban 1500
2022-02-06,2022-03-08 11:33:17 UTC,Oldsmobile,8,Alero
2022-01-17,2022-02-09 05:26:36 UTC,Mitsubishi,23,Galant
2021-12-24,2022-01-20 18:12:10 UTC,Chevrolet,25,Express 1500
2022-05-16,2022-06-10 05:09:55 UTC,Ford,18,Thunderbird
2021-09-06,2021-10-01 21:22:49 UTC,Ford,21,Ranger
2021-11-17,2021-11-21 23:41:32 UTC,Cadillac,5,DTS
2022-04-18,2022-04-21 12:55:55 UTC,Jeep,5,Wrangler
2022-03-18,2022-03-29 07:14:33 UTC,Suzuki,7,SJ
2022-01-10,2022-02-09 09:56:01 UTC,Cadillac,20,Seville
2022-04-30,2022-05-28 19:40:35 UTC,Tesla,17,Roadster
2022-06-04,2022-06-12 22:03:19 UTC,Cadillac,28,Escalade EXT
2021-09-23,2021-09-26 22:46:24 UTC,Mercedes-Benz,10,SLS AMG
2021-10-07,2021-10-28 19:14:44 UTC,Jaguar,12,XK
2022-02-03,2022-02-17 12:38:06 UTC,Ford,8,Bronco
2022-07-23,2022-08-07 17:43:55 UTC,Lotus,18,Exige
2022-02-11,2022-02-22 10:18:05 UTC,Acura,12,RSX
2022-07-12,2022-07-23 10:07:43 UTC,GMC,9,Envoy XUV
2021-10-02,2021-10-12 20:10:03 UTC,Nissan,17,Rogue
2022-07-06,2022-08-02 16:40:06 UTC,Mazda,29,626
2022-03-31,2022-04-03 03:52:31 UTC,Saturn,26,S-Series
2021-12-10,2021-12-14 23:24:10 UTC,Volkswagen,13,Touareg
2021-10-06,2021-10-15 02:19:20 UTC,Mitsubishi,12,Montero Sport
2022-02-15,2022-03-09 00:33:43 UTC,Pontiac,29,G8
2022-07-14,2022-08-05 04:31:13 UTC,Mercedes-Benz,8,GLK-Class
2022-07-05,2022-07-26 00:46:16 UTC,Mercury,14,Topaz
2022-03-02,2022-03-17 05:34:03 UTC,Nissan,14,Pathfinder
2021-12-22,2022-01-21 08:59:34 UTC,Nissan,26,Pathfinder
2022-07-09,2022-08-04 14:29:55 UTC,Mitsubishi,10,Lancer Evolution
2021-11-06,2021-11-19 07:43:07 UTC,Chrysler,13,LeBaron
2021-10-25,2021-11-02 05:00:21 UTC,Pontiac,24,Grand Prix
2022-01-08,2022-01-10 23:52:34 UTC,Dodge,20,Dakota Club
2022-07-29,2022-08-18 01:35:13 UTC,Citroën,30,SM
2022-02-12,2022-03-10 02:38:58 UTC,Mazda,28,B-Series Plus
2021-12-28,2022-01-18 11:44:31 UTC,Chrysler,30,Pacifica
2021-09-24,2021-10-13 01:02:22 UTC,Volkswagen,6,Eurovan
2022-06-12,2022-06-29 20:18:37 UTC,GMC,27,EV1
2022-01-03,2022-01-11 12:07:06 UTC,GMC,12,1500
2021-09-29,2021-10-06 02:59:41 UTC,Mazda,14,Miata MX-5
2022-05-19,2022-06-04 05:24:19 UTC,Chevrolet,7,Silverado
2022-01-15,2022-02-14 02:43:21 UTC,Porsche,8,Cayman
2022-01-23,2022-02-17 08:40:23 UTC,Nissan,19,Frontier
2021-11-22,2021-11-23 17:00:15 UTC,Chevrolet,28,Prizm
2022-05-24,2022-06-15 14:59:06 UTC,Nissan,28,Murano
2021-09-23,2021-10-12 11:33:46 UTC,Isuzu,25,Ascender
2022-04-23,2022-05-19 21:51:32 UTC,Ford,25,Explorer
2022-06-23,2022-07-16 10:21:22 UTC,Mercedes-Benz,19,S-Class
2022-07-07,2022-07-12 22:22:13 UTC,Mercury,19,Mariner
2022-07-09,2022-08-01 06:12:51 UTC,BMW,27,X5
2022-02-14,2022-02-23 15:36:28 UTC,Saturn,20,Sky
2022-07-06,2022-07-11 12:28:46 UTC,GMC,30,3500
2021-11-07,2021-12-03 11:00:11 UTC,Lincoln,22,Town Car
2022-04-10,2022-05-03 17:19:03 UTC,Toyota,28,Land Cruiser
2022-03-04,2022-03-22 15:25:05 UTC,Volvo,9,940
2022-03-26,2022-04-15 08:46:55 UTC,Lotus,26,Elan
2022-07-01,2022-07-22 06:57:15 UTC,Volkswagen,8,Passat
2022-05-28,2022-06-01 12:54:47 UTC,Chevrolet,20,Venture
2021-09-03,2021-10-02 09:50:03 UTC,Ford,9,GT500
2022-07-21,2022-08-13 04:31:40 UTC,Audi,23,S4
2021-09-21,2021-10-01 23:46:31 UTC,Bentley,9,Continental
2022-07-02,2022-07-20 08:25:34 UTC,Mercedes-Benz,28,E-Class
2021-09-26,2021-10-02 02:36:22 UTC,Lamborghini,11,Murciélago
2021-10-27,2021-11-04 03:19:54 UTC,Land Rover,11,Discovery
2021-09-12,2021-09-29 04:32:20 UTC,Hyundai,7,Elantra
2022-05-14,2022-05-31 08:59:47 UTC,Chevrolet,28,Astro
2022-06-13,2022-06-30 21:14:07 UTC,Chevrolet,15,Blazer
2021-12-25,2022-01-09 15:23:14 UTC,Cadillac,11,STS
2022-04-02,2022-04-28 01:37:41 UTC,Lexus,18,GS
2022-07-30,2022-08-24 15:01:04 UTC,Chevrolet,20,Suburban 2500
2021-12-22,2022-01-12 10:37:45 UTC,Suzuki,6,X-90
2022-02-15,2022-02-16 15:48:18 UTC,Hummer,5,H1
2021-10-31,2021-11-08 20:57:27 UTC,Dodge,5,Ram 2500
2022-04-15,2022-04-25 03:05:01 UTC,Studebaker,14,Avanti
2021-10-31,2021-11-17 15:32:03 UTC,Mazda,16,Protege5
2022-02-24,2022-03-12 05:14:43 UTC,Dodge,11,Ram 3500
2021-10-10,2021-10-27 18:01:07 UTC,Toyota,23,Camry
2022-02-10,2022-02-22 21:18:53 UTC,Infiniti,29,Q
2022-05-20,2022-06-15 02:19:42 UTC,Cadillac,18,Escalade ESV
2021-10-15,2021-10-18 09:42:00 UTC,Lotus,7,Esprit
2022-07-03,2022-07-30 16:14:30 UTC,Lincoln,20,Navigator
2022-01-08,2022-01-20 21:03:50 UTC,Audi,13,TT
2022-07-14,2022-08-03 08:38:12 UTC,Pontiac,21,Grand Prix
2022-03-18,2022-04-01 10:06:13 UTC,Honda,11,CR-V
2022-01-28,2022-02-16 10:14:18 UTC,BMW,23,X6 M
2021-09-04,2021-09-19 14:56:13 UTC,Volkswagen,15,CC
2021-11-11,2021-11-20 01:01:46 UTC,Mercedes-Benz,23,S-Class
2022-06-02,2022-06-27 15:51:12 UTC,Ford,15,Ranger
2021-12-02,2021-12-30 14:35:52 UTC,Cadillac,20,STS
2021-12-24,2022-01-04 00:37:56 UTC,Lincoln,6,MKT
2021-09-14,2021-10-02 18:56:19 UTC,Subaru,6,Tribeca
2022-02-06,2022-02-22 17:16:18 UTC,Morgan,5,Aero 8
2022-04-03,2022-04-20 17:59:49 UTC,Hummer,22,H1
2022-04-14,2022-05-06 02:51:14 UTC,Jeep,14,Grand Cherokee
2022-07-20,2022-08-19 23:31:38 UTC,Chevrolet,13,1500
2022-03-05,2022-03-28 07:15:52 UTC,Chevrolet,20,Silverado 1500
2021-12-06,2021-12-21 16:36:27 UTC,Lexus,6,ES
2021-09-15,2021-09-16 21:26:56 UTC,Suzuki,23,XL7
2022-02-18,2022-02-28 14:44:09 UTC,Mitsubishi,30,Pajero
2021-10-05,2021-10-14 00:36:39 UTC,Ford,30,E150
2021-10-13,2021-11-06 21:50:53 UTC,Chrysler,25,Aspen
2022-07-09,2022-07-22 23:41:17 UTC,Toyota,25,Avalon
2022-07-11,2022-07-22 09:34:57 UTC,Ford,8,Econoline E250
2021-12-18,2022-01-15 02:21:09 UTC,Chevrolet,23,Beretta
2022-07-28,2022-08-19 18:49:19 UTC,Mazda,26,GLC
2022-06-06,2022-06-21 22:12:36 UTC,Chevrolet,10,Silverado
2022-06-27,2022-07-03 14:06:44 UTC,Mitsubishi,22,Eclipse
2021-10-25,2021-11-22 16:51:00 UTC,Dodge,24,Ram Van 2500
2022-02-26,2022-03-13 16:58:11 UTC,Toyota,11,Corolla
2021-09-04,2021-09-09 11:36:51 UTC,Dodge,30,Ramcharger
2022-02-09,2022-03-01 11:02:21 UTC,Cadillac,24,SRX
2022-01-30,2022-02-13 02:15:38 UTC,Chevrolet,12,Silverado
2022-07-05,2022-07-11 20:47:14 UTC,GMC,30,Vandura 2500
2022-05-28,2022-06-11 06:47:05 UTC,Mazda,25,CX-9
2021-09-03,2021-09-26 16:17:58 UTC,Dodge,8,Neon
2022-06-18,2022-07-07 00:46:53 UTC,Pontiac,24,Solstice
2021-09-09,2021-10-03 05:03:31 UTC,Pontiac,8,Grand Prix
2022-05-16,2022-06-02 06:13:06 UTC,Land Rover,14,Range Rover
2022-01-07,2022-01-26 01:13:20 UTC,GMC,22,Sierra 1500
2022-02-28,2022-03-29 02:57:50 UTC,Lincoln,8,Navigator L
2022-02-28,2022-03-15 12:04:09 UTC,Land Rover,29,Discovery
2022-06-11,2022-06-23 14:21:52 UTC,Mitsubishi,20,Mirage
2021-12-12,2022-01-09 10:47:48 UTC,Mitsubishi,23,GTO
2022-05-28,2022-06-03 11:41:23 UTC,Maybach,21,62
2022-03-06,2022-03-22 01:47:38 UTC,Chevrolet,29,Corvette
2022-05-30,2022-06-19 12:35:13 UTC,Ford,15,Escort
2022-03-29,2022-04-25 10:28:25 UTC,Hummer,23,H1
2021-11-21,2021-11-27 21:33:42 UTC,Cadillac,22,DeVille
2022-06-08,2022-06-13 03:35:28 UTC,Mercury,25,Mystique
2021-11-13,2021-12-05 17:19:20 UTC,Toyota,15,Venza
2022-04-08,2022-04-29 17:37:39 UTC,Volvo,27,S40
2022-06-21,2022-06-22 23:08:07 UTC,Chevrolet,6,HHR
2021-11-27,2021-12-03 22:01:24 UTC,Lincoln,30,Continental
2021-12-24,2022-01-18 10:46:43 UTC,Mercedes-Benz,8,SL-Class
2022-01-20,2022-02-01 19:15:50 UTC,Saab,12,900
2021-09-17,2021-10-13 14:31:32 UTC,Nissan,21,200SX
2022-04-30,2022-05-24 12:57:43 UTC,Plymouth,11,Grand Voyager
2022-05-15,2022-05-24 13:50:46 UTC,GMC,19,1500
2021-10-07,2021-10-28 05:51:38 UTC,Infiniti,30,FX
2021-12-15,2021-12-28 08:45:32 UTC,Suzuki,10,Swift
2022-02-10,2022-03-03 13:14:07 UTC,Porsche,5,944
2021-12-25,2022-01-06 08:32:10 UTC,GMC,19,Envoy XL
2021-09-03,2021-09-13 09:46:28 UTC,Infiniti,21,M
2021-11-10,2021-12-07 23:26:26 UTC,Ford,27,Mustang
2021-10-23,2021-10-27 18:25:17 UTC,Hyundai,8,XG350
2022-05-12,2022-05-18 08:46:48 UTC,Jaguar,12,S-Type
2022-02-16,2022-02-22 18:17:15 UTC,Isuzu,17,Hombre
2022-07-06,2022-07-27 13:27:42 UTC,Pontiac,28,Torrent
2022-03-29,2022-04-11 22:19:14 UTC,Buick,18,Regal
2021-11-29,2021-12-24 03:09:11 UTC,Pontiac,6,Montana
2021-10-12,2021-10-15 07:50:27 UTC,Chevrolet,16,Corvette
2022-01-17,2022-01-26 00:04:02 UTC,Bentley,15,Azure
2021-10-12,2021-11-03 07:39:10 UTC,Saturn,7,Astra
2022-03-08,2022-03-13 17:29:23 UTC,Bentley,26,Continental
2021-12-25,2022-01-02 03:24:36 UTC,Tesla,15,Roadster
2022-05-25,2022-05-26 06:00:24 UTC,Volvo,11,V50
2022-01-09,2022-02-08 11:20:46 UTC,Buick,21,Riviera
2022-04-19,2022-05-11 10:01:27 UTC,Mitsubishi,23,Chariot
2022-01-01,2022-01-10 23:49:12 UTC,Toyota,14,Corolla
2022-01-27,2022-02-09 21:21:38 UTC,Ford,28,GT
2022-05-08,2022-06-03 12:59:35 UTC,Isuzu,15,Hombre
2021-09-23,2021-09-25 15:49:27 UTC,Nissan,15,Pathfinder
2021-11-21,2021-12-17 18:38:45 UTC,Chevrolet,21,Suburban 1500
2022-03-16,2022-03-29 05:26:36 UTC,MINI,20,Cooper
2021-11-14,2021-12-09 22:26:05 UTC,Dodge,7,Magnum
2022-05-02,2022-05-18 07:55:36 UTC,Hyundai,8,Accent
2021-10-02,2021-10-14 19:15:05 UTC,Audi,19,A6
2021-10-16,2021-10-22 08:18:19 UTC,Jaguar,24,S-Type
2021-10-31,2021-11-06 15:48:44 UTC,Mazda,16,MX-5
2021-12-28,2022-01-27 14:41:01 UTC,Subaru,14,Forester
2021-10-17,2021-10-29 19:31:27 UTC,Bugatti,5,Veyron
2022-06-06,2022-06-25 17:53:26 UTC,Mazda,14,Tribute
2022-03-28,2022-04-21 03:14:04 UTC,Mitsubishi,22,Mirage
2021-09-18,2021-09-25 01:15:47 UTC,Ford,8,Explorer
2022-02-14,2022-03-11 21:56:07 UTC,Eagle,25,Summit
2022-05-30,2022-06-01 18:53:55 UTC,Ford,19,Econoline E150
2022-04-05,2022-04-26 21:11:55 UTC,Kia,15,Sportage
2022-07-24,2022-08-11 14:43:45 UTC,Mitsubishi,8,Diamante
2022-04-24,2022-04-29 15:00:59 UTC,Volkswagen,19,Golf
2022-02-07,2022-03-05 12:45:14 UTC,Lincoln,8,Navigator L
2022-02-12,2022-02-21 03:43:52 UTC,Ford,24,Expedition EL
2022-04-06,2022-04-12 08:18:50 UTC,Ford,17,Club Wagon
2022-01-19,2022-02-02 03:42:37 UTC,Land Rover,17,Discovery
2022-01-29,2022-02-18 02:32:54 UTC,Chevrolet,13,Silverado 1500
2021-09-25,2021-10-20 12:39:14 UTC,Pontiac,17,G8
2022-02-06,2022-02-26 09:59:33 UTC,Dodge,6,Caravan
2022-06-01,2022-06-08 06:52:08 UTC,Honda,29,Odyssey
2021-10-22,2021-11-10 20:50:51 UTC,Audi,12,80
2022-01-14,2022-01-16 18:38:40 UTC,Lexus,5,SC
2022-05-17,2022-06-06 14:23:37 UTC,Land Rover,15,Defender
2021-12-03,2021-12-26 08:20:40 UTC,Maserati,26,GranSport
2022-02-23,2022-03-19 02:39:47 UTC,Volkswagen,10,New Beetle
2021-11-17,2021-11-29 01:30:33 UTC,Saturn,19,S-Series
2022-04-09,2022-04-28 16:10:37 UTC,Toyota,11,Land Cruiser
2022-07-22,2022-08-21 10:44:59 UTC,Ford,19,LTD Crown Victoria
2021-09-06,2021-09-20 11:45:46 UTC,Ford,16,Expedition
2021-12-10,2021-12-29 02:13:21 UTC,Ford,20,Escort
2022-02-02,2022-02-06 19:44:15 UTC,Dodge,14,Ram Wagon B350
2022-01-26,2022-02-24 22:55:50 UTC,Chrysler,9,PT Cruiser
2022-04-09,2022-05-01 15:07:07 UTC,GMC,5,Yukon XL 1500
2022-03-18,2022-03-27 15:50:59 UTC,Ford,9,Ranger
2021-12-18,2021-12-22 12:44:10 UTC,GMC,29,Sierra 3500
2021-11-28,2021-12-27 03:59:42 UTC,Chevrolet,14,Tahoe
2021-12-03,2021-12-06 04:43:59 UTC,Cadillac,16,Escalade EXT
2022-07-14,2022-07-31 05:51:40 UTC,Dodge,12,Dakota Club
2021-12-28,2022-01-18 08:01:40 UTC,Lexus,14,LS
2021-10-25,2021-11-08 21:31:16 UTC,Chevrolet,19,Prizm
2022-06-12,2022-07-05 19:57:17 UTC,Mazda,11,929
2021-11-22,2021-12-07 10:44:36 UTC,Honda,5,Accord
2022-03-25,2022-04-09 11:04:26 UTC,Toyota,28,Cressida
2021-10-18,2021-11-15 03:21:40 UTC,Dodge,18,Durango
2022-07-13,2022-07-24 06:37:09 UTC,Lotus,14,Elise
2022-05-28,2022-06-21 03:09:00 UTC,MINI,24,Cooper
2022-03-27,2022-03-29 12:59:32 UTC,Lotus,13,Exige
2022-07-07,2022-07-27 16:01:15 UTC,Lexus,13,SC
2022-06-22,2022-06-27 02:09:30 UTC,Aston Martin,26,DB9 Volante
2021-10-28,2021-11-21 00:09:44 UTC,Mitsubishi,29,Starion
2022-02-20,2022-03-02 08:04:16 UTC,Mazda,21,MX-6
2021-09-10,2021-09-21 05:54:50 UTC,Chevrolet,13,3500
2022-01-03,2022-01-25 01:45:39 UTC,Ford,27,Bronco
2021-10-23,2021-11-03 11:18:38 UTC,BMW,16,M6
2022-04-01,2022-04-10 20:16:24 UTC,Acura,13,MDX
2022-07-12,2022-08-07 13:55:25 UTC,Chevrolet,27,Cavalier
2022-02-09,2022-03-02 05:34:28 UTC,GMC,19,Sonoma
2022-07-24,2022-08-18 18:30:02 UTC,Kia,25,Sportage
2022-03-25,2022-04-06 01:59:26 UTC,Suzuki,19,Swift
2021-11-19,2021-12-03 15:24:48 UTC,Ford,17,F150
2022-05-15,2022-06-10 04:44:11 UTC,Lexus,29,RX
2022-04-05,2022-04-28 03:58:22 UTC,Volkswagen,21,GTI
2022-07-18,2022-08-13 11:54:07 UTC,Chevrolet,22,Malibu
2022-02-28,2022-03-11 14:50:14 UTC,Ford,5,Windstar
2022-04-14,2022-04-28 22:06:26 UTC,Ford,14,Explorer
2022-03-10,2022-03-28 01:59:30 UTC,Dodge,28,Grand Caravan
2021-11-14,2021-11-26 07:28:15 UTC,Infiniti,30,G
2022-04-29,2022-05-16 10:26:33 UTC,Mitsubishi,8,RVR
2022-06-15,2022-07-13 12:07:46 UTC,Volkswagen,28,New Beetle
2022-06-04,2022-06-11 18:01:07 UTC,Chevrolet,11,Express 3500
2021-10-08,2021-10-29 14:43:29 UTC,Subaru,6,Justy
2022-06-04,2022-07-02 05:22:31 UTC,Toyota,10,Tundra
2021-09-23,2021-10-21 00:43:25 UTC,Dodge,22,Ram
2022-04-28,2022-05-27 08:21:50 UTC,Volvo,9,V50
2022-06-08,2022-07-08 01:52:19 UTC,Nissan,27,Sentra
2022-07-04,2022-08-01 23:16:10 UTC,Mazda,12,B-Series Plus
2021-12-20,2022-01-12 05:15:19 UTC,Volvo,18,S80
2022-07-05,2022-07-12 00:10:08 UTC,Mercedes-Benz,19,C-Class
2022-04-13,2022-05-06 12:30:50 UTC,Toyota,17,Previa
2022-05-09,2022-05-21 01:08:24 UTC,BMW,28,3 Series
2022-07-01,2022-07-08 22:49:02 UTC,Buick,29,LaCrosse
2021-11-17,2021-12-10 13:06:48 UTC,Geo,14,Tracker
2022-05-13,2022-06-12 04:02:57 UTC,Volvo,19,960
2021-12-28,2022-01-23 01:07:50 UTC,Audi,10,Allroad
2021-12-05,2021-12-28 18:24:01 UTC,Dodge,12,Grand Caravan
2021-12-09,2021-12-27 08:22:17 UTC,Volkswagen,23,Golf
2021-12-04,2021-12-16 09:59:44 UTC,Lincoln,28,Navigator
2021-11-07,2021-11-09 19:10:50 UTC,Isuzu,30,VehiCROSS
2022-03-27,2022-04-17 04:56:07 UTC,Mercedes-Benz,23,CL-Class
2022-07-05,2022-08-02 14:28:30 UTC,Chevrolet,7,Caprice
2022-03-19,2022-03-30 08:14:10 UTC,Toyota,26,Avalon
2021-11-11,2021-12-04 10:29:07 UTC,Toyota,27,Solara
2022-01-23,2022-02-13 15:37:25 UTC,GMC,13,Yukon XL 2500
2021-11-02,2021-11-20 16:05:20 UTC,Volvo,18,S70
2021-09-24,2021-10-20 22:09:43 UTC,GMC,25,Sonoma
2021-12-17,2022-01-06 18:25:29 UTC,Pontiac,11,Firebird
2022-04-11,2022-05-04 06:13:46 UTC,Mercury,30,Mountaineer
2022-02-14,2022-03-10 05:40:12 UTC,GMC,28,2500
2022-06-28,2022-07-07 14:05:28 UTC,Mercury,22,Cougar
2022-06-26,2022-06-29 08:56:17 UTC,Infiniti,15,G
2022-05-20,2022-06-17 16:49:24 UTC,Suzuki,21,Swift
2022-05-25,2022-06-22 09:11:06 UTC,Land Rover,7,Discovery
2021-09-27,2021-10-21 03:36:32 UTC,Acura,22,SLX
2021-12-10,2021-12-15 01:00:44 UTC,Volkswagen,23,Jetta
2022-05-16,2022-06-03 23:06:02 UTC,Volvo,27,XC60
2022-06-20,2022-07-11 13:19:56 UTC,Dodge,18,Ram
2022-01-15,2022-02-07 16:20:46 UTC,Mitsubishi,30,Lancer
2022-04-05,2022-04-24 21:35:51 UTC,Chevrolet,30,Tahoe
2022-01-16,2022-02-05 01:23:30 UTC,Volvo,13,S40
2022-04-29,2022-05-09 18:50:04 UTC,Ford,14,Escort ZX2
2022-02-02,2022-02-25 18:14:51 UTC,Dodge,28,Ram 2500
2022-02-04,2022-02-13 02:47:10 UTC,Audi,30,A4
2022-04-17,2022-04-19 02:21:16 UTC,BMW,24,X5 M
2022-06-28,2022-07-17 14:16:22 UTC,Buick,27,LeSabre
2022-06-16,2022-07-01 12:20:48 UTC,Volvo,21,S80
2021-09-28,2021-10-18 19:36:09 UTC,Lexus,21,ES
2022-01-23,2022-02-22 15:06:26 UTC,Subaru,30,Outback
2021-11-04,2021-11-17 12:01:07 UTC,Dodge,19,Ram Van B350
2022-04-01,2022-04-25 07:45:39 UTC,Mercedes-Benz,30,S-Class
2021-09-02,2021-09-04 14:24:46 UTC,Bentley,15,Continental GT
2021-10-14,2021-11-03 17:03:39 UTC,Audi,5,100
2022-07-16,2022-07-29 10:10:07 UTC,Chevrolet,8,Express 3500
2022-03-05,2022-03-06 03:56:26 UTC,Oldsmobile,6,Bravada
2021-10-01,2021-10-22 18:00:23 UTC,Mercedes-Benz,23,SLS AMG
2021-09-24,2021-10-01 19:46:40 UTC,Rolls-Royce,29,Phantom
2021-12-29,2022-01-03 13:36:08 UTC,Lexus,22,ES
2021-10-11,2021-10-31 23:48:53 UTC,Acura,17,CL
2021-09-09,2021-09-12 04:41:34 UTC,Mitsubishi,24,GTO
2021-10-31,2021-11-14 00:59:06 UTC,Volvo,15,XC70
2022-04-11,2022-04-22 16:52:05 UTC,Suzuki,17,Equator
2021-12-16,2022-01-06 22:54:57 UTC,Audi,11,S4
2022-01-13,2022-02-11 12:38:24 UTC,Spyker,21,C8 Double 12 S
2022-04-16,2022-05-05 07:26:24 UTC,Suzuki,20,Reno
2021-10-28,2021-11-21 17:57:25 UTC,Mercedes-Benz,13,E-Class
2022-06-02,2022-07-02 15:50:40 UTC,Chevrolet,17,Impala
2021-09-19,2021-10-09 18:02:16 UTC,Aston Martin,7,V8 Vantage S
2021-11-15,2021-12-14 14:56:27 UTC,Infiniti,19,FX
2021-12-26,2022-01-02 20:09:46 UTC,Dodge,5,Charger
2021-11-14,2021-12-09 11:10:04 UTC,Infiniti,20,Q
2022-07-05,2022-07-06 15:27:00 UTC,Porsche,5,Cayman
2022-05-16,2022-05-24 12:14:36 UTC,Pontiac,10,Fiero
2021-12-27,2021-12-29 07:54:25 UTC,Volkswagen,27,rio
2021-11-25,2021-12-04 19:05:16 UTC,Kia,22,Optima
2021-10-20,2021-11-09 02:23:19 UTC,Toyota,10,Matrix
2021-09-21,2021-09-22 16:51:02 UTC,Pontiac,22,Gemini
2021-09-25,2021-10-16 10:05:47 UTC,Dodge,30,Ram 2500
2022-07-26,2022-08-06 16:14:32 UTC,Suzuki,15,Equator
2021-11-09,2021-11-29 17:08:31 UTC,Pontiac,9,Grand Am
2022-06-05,2022-06-26 06:28:26 UTC,Cadillac,14,STS
2022-04-06,2022-04-22 07:22:19 UTC,Infiniti,14,FX
2022-01-04,2022-01-28 17:45:03 UTC,Oldsmobile,10,88
2022-06-25,2022-06-30 02:21:44 UTC,Mercedes-Benz,14,M-Class
2021-09-03,2021-09-14 11:13:44 UTC,Jeep,19,Cherokee
2022-04-18,2022-05-13 03:06:20 UTC,Volvo,17,V50
2021-09-12,2021-09-13 19:15:40 UTC,Ford,9,Windstar
2022-05-30,2022-06-10 02:35:40 UTC,Chevrolet,5,Suburban 1500
2022-01-12,2022-01-26 07:25:06 UTC,Mazda,26,MX-5
2022-07-02,2022-08-01 07:57:09 UTC,BMW,14,6 Series
2022-07-12,2022-07-14 09:45:46 UTC,Mitsubishi,28,Galant
2022-04-09,2022-05-06 21:14:41 UTC,Jaguar,10,XJ
2022-04-12,2022-04-21 20:56:41 UTC,Panoz,30,Esperante
2021-11-18,2021-11-27 12:05:13 UTC,Cadillac,12,DeVille
2022-02-18,2022-03-10 03:54:24 UTC,Chevrolet,5,Silverado 2500
2021-09-07,2021-09-28 19:56:13 UTC,Saab,11,9000
2021-10-22,2021-11-11 12:15:29 UTC,Toyota,18,Tacoma
2022-06-25,2022-06-28 04:14:10 UTC,Hyundai,5,Veracruz
