data_inizio,data_fine,Brand,Percentuale_Sconto,Modello
2022-01-16,2022-02-05 12:38:48 UTC,Chrysler,17,Imperial
2022-02-12,2022-02-24 05:22:22 UTC,Toyota,20,T100
2021-09-09,2021-09-30 17:37:01 UTC,Chevrolet,25,Silverado 1500
2022-04-24,2022-05-24 09:21:55 UTC,Jeep,23,Wrangler
2022-01-01,2022-01-27 03:16:44 UTC,Ford,10,Thunderbird
2022-02-24,2022-03-09 14:23:01 UTC,Mazda,27,B-Series
2022-05-05,2022-05-06 23:06:25 UTC,Ford,15,Bronco
2021-09-02,2021-10-01 14:02:24 UTC,Jaguar,6,S-Type
2022-02-13,2022-03-15 22:38:57 UTC,Volkswagen,28,GLI
2021-10-19,2021-10-31 03:55:26 UTC,Dodge,9,Ram 50
2022-04-24,2022-05-19 07:07:13 UTC,Toyota,21,4Runner
2022-03-23,2022-04-13 03:53:44 UTC,Mitsubishi,14,Truck
2021-09-05,2021-10-01 04:41:09 UTC,Jaguar,11,XK Series
2021-09-11,2021-09-22 18:45:36 UTC,BMW,24,3 Series
2022-01-30,2022-02-09 13:26:30 UTC,Oldsmobile,5,Achieva
2021-11-28,2021-12-27 23:43:41 UTC,Land Rover,29,Range Rover
2022-03-27,2022-04-01 04:08:57 UTC,Buick,27,Terraza
2022-06-16,2022-06-18 15:35:03 UTC,Mercury,12,Sable
2021-11-06,2021-12-05 21:52:54 UTC,Pontiac,22,Firebird
2022-05-22,2022-05-31 01:30:56 UTC,Isuzu,21,VehiCROSS
2021-09-30,2021-10-19 21:56:51 UTC,Buick,28,LeSabre
2022-02-02,2022-02-26 16:22:16 UTC,BMW,28,5 Series
2021-10-14,2021-10-18 09:26:02 UTC,Chevrolet,19,Avalanche
2022-06-11,2022-06-27 12:28:08 UTC,Saturn,13,L-Series
2022-01-13,2022-01-30 04:42:57 UTC,Mitsubishi,13,Eclipse
2021-09-09,2021-09-18 15:24:26 UTC,Chrysler,6,Crossfire
2021-12-03,2021-12-23 12:50:16 UTC,Pontiac,18,Sunfire
2021-11-14,2021-11-19 07:08:00 UTC,Toyota,24,Tundra
2022-06-24,2022-07-05 05:10:16 UTC,Chevrolet,7,Express
2021-10-08,2021-10-10 17:10:46 UTC,Porsche,11,Boxster
2022-06-02,2022-06-21 09:19:32 UTC,Pontiac,22,Grand Prix
2022-03-12,2022-03-18 01:48:42 UTC,Chevrolet,26,Silverado 2500
2022-03-19,2022-03-21 00:27:54 UTC,Audi,26,A6
2021-10-15,2021-10-24 16:52:07 UTC,Pontiac,20,6000
2022-06-14,2022-07-10 18:32:06 UTC,Hyundai,20,Accent
2021-09-10,2021-09-29 06:33:53 UTC,Audi,26,S8
2022-02-17,2022-02-20 08:49:44 UTC,Maybach,11,62
2022-03-17,2022-03-26 21:21:57 UTC,BMW,6,X6 M
2021-12-19,2021-12-28 16:26:55 UTC,Oldsmobile,10,Bravada
2022-01-24,2022-02-11 07:01:59 UTC,Mercury,29,Cougar
2022-07-04,2022-07-14 02:50:08 UTC,Chevrolet,6,Express 1500
2022-01-30,2022-02-22 16:05:56 UTC,Isuzu,13,VehiCROSS
2021-10-02,2021-10-05 16:00:14 UTC,Pontiac,13,GTO
2021-10-11,2021-11-08 04:25:45 UTC,Dodge,15,Ram 1500
2021-11-14,2021-11-27 01:20:47 UTC,MINI,21,Cooper
2021-10-03,2021-10-10 07:06:54 UTC,Ford,7,Crown Victoria
2021-10-21,2021-11-18 06:55:15 UTC,Dodge,20,Journey
2022-01-02,2022-01-19 05:22:31 UTC,Dodge,26,Spirit
2021-11-09,2021-11-20 09:41:06 UTC,Scion,11,xB
2021-09-04,2021-09-29 05:57:58 UTC,Cadillac,8,Eldorado
2022-05-30,2022-06-03 08:28:10 UTC,Audi,22,A4
2022-03-13,2022-04-11 14:30:04 UTC,Mercedes-Benz,16,CLS-Class
2022-07-17,2022-08-12 11:38:50 UTC,Mercedes-Benz,16,M-Class
2022-07-10,2022-07-20 01:37:38 UTC,Buick,7,Somerset
2022-06-23,2022-07-11 03:47:43 UTC,Dodge,8,D250 Club
2022-07-06,2022-08-05 03:07:54 UTC,Ford,22,Escape
2021-09-16,2021-09-27 13:06:06 UTC,Pontiac,5,Firebird
2022-07-26,2022-08-05 23:33:53 UTC,Buick,9,Roadmaster
2021-09-22,2021-10-05 14:26:54 UTC,Suzuki,7,XL-7
2022-06-18,2022-07-02 20:58:05 UTC,Mercedes-Benz,22,M-Class
2022-01-30,2022-02-06 11:25:39 UTC,GMC,22,Savana 3500
2022-02-02,2022-02-07 03:27:21 UTC,GMC,14,Yukon
2021-12-17,2021-12-24 20:47:32 UTC,Hyundai,26,Elantra
2022-02-13,2022-02-27 19:52:23 UTC,Chevrolet,28,Silverado 2500
2022-07-26,2022-08-24 09:07:31 UTC,Jaguar,21,S-Type
2022-04-10,2022-04-20 06:02:41 UTC,Chevrolet,29,Camaro
2021-09-08,2021-09-24 18:58:27 UTC,Hummer,7,H2
2022-03-28,2022-04-10 20:51:36 UTC,Porsche,21,911
2021-12-07,2021-12-28 06:34:31 UTC,Suzuki,17,Samurai
2022-06-08,2022-06-18 10:11:59 UTC,Ford,22,Edge
2022-05-11,2022-05-21 18:10:36 UTC,Acura,29,TL
2021-10-02,2021-10-15 20:39:10 UTC,GMC,23,Sierra 2500
2022-07-29,2022-08-12 17:11:43 UTC,Ford,18,Windstar
2021-12-01,2021-12-10 15:15:06 UTC,Acura,27,TL
2022-06-26,2022-07-17 20:52:36 UTC,Toyota,26,Tacoma Xtra
2021-12-29,2022-01-07 08:03:57 UTC,GMC,26,Jimmy
2022-01-04,2022-01-22 04:53:39 UTC,Dodge,15,Stealth
2022-06-18,2022-06-23 15:28:20 UTC,Eagle,19,Talon
2022-06-09,2022-06-29 04:31:50 UTC,Toyota,22,Avalon
2022-01-03,2022-01-09 16:13:47 UTC,Oldsmobile,17,Aurora
2022-03-15,2022-03-26 10:02:06 UTC,Kia,17,Rondo
2022-02-07,2022-03-06 07:27:15 UTC,BMW,5,M3
2022-01-10,2022-01-25 03:15:53 UTC,Ford,15,Laser
2022-05-27,2022-06-19 13:03:11 UTC,Toyota,7,Solara
2022-01-18,2022-01-31 14:24:29 UTC,Ford,26,Transit Connect
2022-04-27,2022-05-09 14:39:30 UTC,Dodge,14,Ram 3500
2022-07-16,2022-07-26 14:22:45 UTC,Ford,19,F250
2022-05-15,2022-06-02 16:31:21 UTC,Volkswagen,11,Golf III
2022-05-27,2022-06-13 07:27:59 UTC,Isuzu,16,Ascender
2022-07-09,2022-08-01 20:50:18 UTC,BMW,29,1 Series
2021-10-05,2021-11-04 07:11:50 UTC,Volkswagen,6,Cabriolet
2022-04-11,2022-04-17 11:06:41 UTC,Chevrolet,9,G-Series 3500
2022-06-30,2022-07-20 00:12:00 UTC,Suzuki,30,Forenza
2021-12-21,2022-01-20 06:51:31 UTC,Toyota,6,Corolla
2021-11-11,2021-11-17 04:39:42 UTC,Toyota,13,Camry
2021-09-29,2021-10-06 03:20:36 UTC,Ford,12,Windstar
2022-05-16,2022-06-09 07:17:30 UTC,Mercedes-Benz,6,S-Class
2022-02-15,2022-03-17 23:37:18 UTC,Ford,11,Freestar
2022-06-05,2022-06-10 00:16:42 UTC,Oldsmobile,20,Alero
2022-05-27,2022-06-08 10:45:42 UTC,Ford,5,Thunderbird
2021-11-15,2021-12-02 23:41:01 UTC,Nissan,9,Pathfinder
2022-06-04,2022-06-22 00:20:23 UTC,Cadillac,11,Escalade
2022-01-05,2022-01-20 05:04:51 UTC,Saab,7,900
2021-12-01,2021-12-19 05:26:41 UTC,Ferrari,21,F430
2021-12-03,2022-01-02 14:45:37 UTC,Chevrolet,14,Tracker
2021-11-17,2021-11-26 01:42:40 UTC,Dodge,24,Grand Caravan
2022-04-17,2022-05-11 15:42:56 UTC,GMC,25,Yukon
2022-03-31,2022-04-21 04:23:42 UTC,GMC,6,Yukon
2022-03-10,2022-04-01 03:48:15 UTC,Ford,11,F250
2022-02-08,2022-02-24 17:24:55 UTC,Dodge,5,Ram 1500
2022-07-14,2022-07-27 22:48:34 UTC,Chevrolet,13,Impala
2022-02-08,2022-02-22 18:56:14 UTC,Chevrolet,14,HHR
2021-10-12,2021-10-22 05:49:13 UTC,Volkswagen,11,Passat
2022-07-02,2022-07-19 09:29:04 UTC,Ford,22,Ranger
2022-06-06,2022-06-08 08:24:36 UTC,Ford,18,Tempo
2022-07-07,2022-07-30 07:34:25 UTC,Mazda,22,B-Series Plus
2022-05-24,2022-05-30 05:40:45 UTC,Chevrolet,16,Tahoe
2022-03-05,2022-03-26 14:21:56 UTC,Jaguar,6,X-Type
2021-10-31,2021-11-10 21:14:08 UTC,Ford,28,Mustang
2022-07-20,2022-08-08 00:24:34 UTC,Chevrolet,20,Impala
2021-12-09,2021-12-30 07:01:14 UTC,Buick,6,Skylark
2021-10-24,2021-10-29 17:37:17 UTC,Land Rover,5,Defender 90
2022-06-27,2022-07-09 17:01:37 UTC,Hyundai,15,Scoupe
2022-05-22,2022-05-25 08:12:18 UTC,Oldsmobile,10,Intrigue
2021-12-17,2021-12-27 00:24:24 UTC,Audi,23,5000S
2021-09-08,2021-09-12 05:02:59 UTC,Suzuki,29,SJ
2022-06-24,2022-06-30 14:10:18 UTC,Volkswagen,12,Passat
2021-12-15,2021-12-29 21:10:21 UTC,Ford,28,Explorer
2021-11-30,2021-12-22 12:42:53 UTC,BMW,25,7 Series
2022-07-17,2022-07-21 10:23:56 UTC,Suzuki,7,Swift
2022-05-04,2022-05-08 03:02:10 UTC,Suzuki,9,Daewoo Magnus
2022-04-21,2022-05-14 07:35:39 UTC,Isuzu,13,Ascender
2022-04-16,2022-05-02 14:41:35 UTC,Dodge,20,Spirit
2021-11-05,2021-11-08 18:05:30 UTC,Mazda,18,Mazda2
2021-12-18,2022-01-14 00:09:39 UTC,Mercury,30,Montego
2021-09-19,2021-10-06 23:31:54 UTC,Volvo,14,S80
2022-05-18,2022-05-22 00:01:43 UTC,Ford,12,E-Series
2022-07-19,2022-07-21 17:56:24 UTC,Isuzu,21,i-290
2022-07-23,2022-08-04 06:47:41 UTC,Buick,29,Enclave
2022-05-19,2022-06-16 06:06:05 UTC,GMC,9,Envoy XL
2021-09-08,2021-09-24 14:15:35 UTC,GMC,12,Savana 1500
2022-07-06,2022-08-03 18:54:56 UTC,Mitsubishi,25,Excel
2022-04-22,2022-05-05 14:07:59 UTC,Hyundai,28,Genesis
2021-09-18,2021-09-25 10:13:56 UTC,Ford,15,Focus
2021-11-12,2021-12-07 03:59:39 UTC,GMC,8,1500
2022-03-04,2022-03-26 03:10:48 UTC,GMC,13,Yukon
2022-06-02,2022-07-01 19:45:09 UTC,Chevrolet,30,Tracker
2022-01-10,2022-01-31 05:10:05 UTC,Mazda,8,626
2021-09-09,2021-10-08 14:48:28 UTC,BMW,17,7 Series
2021-10-31,2021-11-18 05:28:58 UTC,Pontiac,9,Sunbird
2022-02-15,2022-02-22 14:19:16 UTC,Chevrolet,11,Impala
2022-04-04,2022-04-16 15:01:10 UTC,Mercury,11,Cougar
2021-09-28,2021-10-26 22:39:19 UTC,Toyota,29,Sienna
2022-07-29,2022-08-08 01:11:47 UTC,Volkswagen,26,Type 2
2021-12-18,2022-01-14 15:04:06 UTC,Infiniti,14,Q
2021-10-03,2021-10-21 07:11:30 UTC,Pontiac,16,Aztek
2022-07-25,2022-08-12 20:30:45 UTC,Mazda,5,B-Series Plus
2021-09-23,2021-09-24 10:00:11 UTC,Chevrolet,9,Caprice Classic
2021-10-19,2021-11-03 02:42:35 UTC,Infiniti,5,Q
2022-01-09,2022-01-29 05:06:19 UTC,Volkswagen,18,Jetta
2022-07-01,2022-07-06 12:42:52 UTC,Volvo,24,XC70
2022-01-27,2022-02-15 13:17:57 UTC,Chevrolet,6,Suburban
2022-05-13,2022-05-25 06:20:39 UTC,Dodge,6,Journey
2022-02-12,2022-03-14 06:26:47 UTC,Daewoo,9,Leganza
2022-03-01,2022-03-23 21:13:02 UTC,Chevrolet,7,S10
2022-06-02,2022-06-07 03:36:11 UTC,Dodge,11,Viper
2021-12-25,2021-12-26 19:26:55 UTC,Isuzu,28,i-350
2022-02-16,2022-03-09 02:15:56 UTC,Land Rover,27,Discovery
2021-10-29,2021-11-15 12:07:10 UTC,Lamborghini,14,Diablo
2021-11-07,2021-11-30 14:44:00 UTC,Buick,13,Regal
2022-05-21,2022-05-23 09:24:02 UTC,Jaguar,8,S-Type
2021-11-29,2021-12-11 01:21:46 UTC,Dodge,9,Ram 3500
2021-11-26,2021-12-19 00:39:34 UTC,Land Rover,9,Defender
2021-10-04,2021-10-20 16:04:51 UTC,Ford,24,Taurus
2022-02-18,2022-03-02 15:02:22 UTC,Volkswagen,8,Scirocco
2022-05-25,2022-06-10 22:59:26 UTC,Audi,15,TT
2021-10-17,2021-11-06 01:04:33 UTC,Pontiac,15,Grand Prix
2022-01-07,2022-01-14 18:08:48 UTC,BMW,23,7 Series
2022-01-05,2022-01-25 09:04:32 UTC,Lotus,14,Esprit
2022-03-13,2022-04-09 09:18:16 UTC,Ford,19,Econoline E250
2022-03-26,2022-04-18 20:47:28 UTC,Mitsubishi,19,Diamante
2021-12-11,2021-12-16 19:39:24 UTC,Isuzu,10,Rodeo
2022-01-12,2022-02-10 00:07:35 UTC,Ford,25,Edge
2021-12-25,2021-12-28 14:13:42 UTC,Toyota,27,Celica
2021-09-01,2021-09-05 15:29:34 UTC,Audi,29,90
2022-06-25,2022-07-18 14:08:50 UTC,Mitsubishi,10,Eclipse
2021-11-19,2021-11-21 01:03:27 UTC,Jeep,24,Wrangler
2022-05-24,2022-05-29 10:41:16 UTC,Pontiac,15,Vibe
2021-11-12,2021-11-16 06:24:28 UTC,Lexus,30,IS
2021-12-30,2022-01-25 13:31:05 UTC,Volvo,8,S80
2022-05-05,2022-05-19 07:36:30 UTC,Ford,26,Laser
2022-02-22,2022-03-15 05:42:42 UTC,Nissan,20,Titan
2022-05-30,2022-06-07 10:37:43 UTC,Ford,11,F250
2022-02-16,2022-02-18 06:44:41 UTC,Honda,5,Pilot
2022-01-19,2022-01-25 17:48:42 UTC,Chevrolet,30,Corvette
2022-02-20,2022-02-25 16:18:06 UTC,Hyundai,12,Tiburon
2021-12-10,2022-01-09 15:15:44 UTC,Volvo,30,V70
2021-11-13,2021-12-10 00:40:20 UTC,Mazda,17,B-Series
2021-09-27,2021-10-23 01:52:18 UTC,Mitsubishi,20,Eclipse
2021-12-16,2021-12-18 21:53:02 UTC,Audi,17,Cabriolet
2022-05-27,2022-06-01 19:14:48 UTC,Kia,6,Sportage
2022-04-09,2022-05-07 19:15:13 UTC,BMW,15,M6
2022-07-26,2022-08-14 10:49:14 UTC,Studebaker,11,Avanti
2021-09-06,2021-10-06 10:31:38 UTC,Honda,26,Civic Si
2022-05-02,2022-05-18 07:54:25 UTC,Ford,15,Explorer
2021-11-12,2021-12-07 23:50:58 UTC,Toyota,16,Highlander
2022-06-14,2022-07-08 20:22:36 UTC,Maserati,17,Biturbo
2022-03-22,2022-04-21 03:27:03 UTC,Honda,15,Accord
2022-06-26,2022-07-06 12:47:35 UTC,Volkswagen,16,GTI
2022-05-21,2022-06-04 14:57:45 UTC,Bentley,6,Azure
2022-06-11,2022-07-04 16:51:34 UTC,Ford,29,Thunderbird
2022-04-15,2022-05-03 23:42:09 UTC,GMC,11,Sierra 3500
2021-11-25,2021-12-20 22:14:17 UTC,Lexus,24,IS
2021-10-31,2021-11-26 20:04:09 UTC,Lotus,20,Esprit
2021-11-15,2021-11-17 20:19:14 UTC,Chevrolet,5,Caprice
2021-11-22,2021-11-26 08:34:34 UTC,Buick,6,LeSabre
2022-05-08,2022-06-01 03:16:15 UTC,Mazda,15,B-Series Plus
2022-04-11,2022-05-09 13:04:35 UTC,Eagle,6,Summit
2022-01-19,2022-02-07 19:32:01 UTC,Mercedes-Benz,23,S-Class
2022-07-01,2022-07-04 08:13:47 UTC,Ford,15,Escape
2022-04-29,2022-05-16 17:02:26 UTC,Bentley,20,Continental GT
2022-01-10,2022-01-28 13:11:44 UTC,Audi,6,Coupe GT
2022-05-10,2022-05-18 08:14:30 UTC,Buick,11,Skylark
2021-12-26,2022-01-14 03:26:17 UTC,Volvo,11,V90
2021-11-22,2021-12-08 20:10:16 UTC,Acura,21,Legend
2022-04-27,2022-05-20 14:34:34 UTC,Nissan,8,Sentra
2021-09-16,2021-10-03 16:40:04 UTC,Ford,18,E350
2022-04-22,2022-05-06 15:21:26 UTC,Jaguar,16,XK Series
2021-12-31,2022-01-09 20:39:55 UTC,Suzuki,25,Vitara
2022-07-12,2022-08-02 09:48:22 UTC,Audi,24,Q5
2022-03-25,2022-04-09 18:45:03 UTC,Ford,11,E350
2022-05-05,2022-05-18 05:46:40 UTC,Mercury,6,Grand Marquis
2022-06-01,2022-06-11 16:13:17 UTC,Ford,13,Taurus
2022-02-08,2022-02-17 04:37:04 UTC,Chevrolet,18,Venture
2021-10-09,2021-10-18 22:43:06 UTC,Maserati,21,Coupe
2021-11-04,2021-11-06 04:08:22 UTC,Suzuki,17,Kizashi
2022-05-20,2022-05-26 19:21:55 UTC,Infiniti,5,QX56
2022-01-31,2022-02-23 04:43:27 UTC,Chevrolet,17,Caprice
2022-07-09,2022-07-16 18:00:16 UTC,Chevrolet,27,Monte Carlo
2022-05-29,2022-06-28 15:07:27 UTC,Mercury,23,Sable
2022-05-24,2022-06-21 19:58:55 UTC,Mercedes-Benz,6,M-Class
2021-10-31,2021-11-01 19:44:52 UTC,Volkswagen,9,riolet
2021-12-17,2022-01-14 19:48:29 UTC,Pontiac,22,Grand Prix
2021-09-12,2021-09-21 16:11:15 UTC,Cadillac,27,CTS
2022-07-23,2022-08-08 16:05:45 UTC,Mercedes-Benz,17,CL-Class
2022-07-15,2022-08-02 14:08:55 UTC,Ford,30,F350
2021-09-10,2021-10-06 21:55:23 UTC,Hummer,12,H2 SUV
2021-11-07,2021-11-17 23:37:48 UTC,Toyota,30,Prius
2022-03-04,2022-03-10 01:49:20 UTC,Hyundai,15,Azera
2022-04-03,2022-04-06 08:14:27 UTC,Mercedes-Benz,14,300D
2022-07-18,2022-07-30 12:23:22 UTC,GMC,30,Envoy XUV
2021-11-04,2021-11-13 07:29:08 UTC,Chevrolet,9,Corvette
2021-10-11,2021-10-14 14:13:05 UTC,Acura,27,RL
2022-07-20,2022-08-16 18:26:57 UTC,Kia,13,Rio
2021-12-20,2022-01-14 04:43:07 UTC,Plymouth,29,Voyager
2022-03-25,2022-04-01 02:40:18 UTC,Subaru,14,Impreza
2021-11-09,2021-12-05 10:19:35 UTC,Volkswagen,9,GTI
2022-01-14,2022-02-01 03:21:55 UTC,Saturn,24,L-Series
2022-06-28,2022-07-05 19:38:19 UTC,Daewoo,23,Leganza
2021-09-24,2021-10-16 20:32:36 UTC,Ford,25,F250
2022-01-09,2022-01-20 10:21:03 UTC,Mitsubishi,13,Lancer
2022-06-27,2022-07-15 04:46:00 UTC,Toyota,25,Venza
2022-06-25,2022-06-26 01:21:02 UTC,Mercedes-Benz,25,SL-Class
2022-04-17,2022-05-14 14:24:46 UTC,Ford,24,E150
2021-12-29,2022-01-07 08:16:23 UTC,Mitsubishi,20,Galant
2022-03-05,2022-03-25 21:55:26 UTC,Ford,8,Bronco
2022-05-12,2022-05-17 23:40:57 UTC,Mazda,30,626
2021-12-11,2022-01-03 05:51:00 UTC,Volvo,9,S80
2022-01-27,2022-02-20 14:35:59 UTC,Porsche,9,911
2022-06-12,2022-06-24 22:48:21 UTC,Mercedes-Benz,24,300CE
2021-10-23,2021-11-09 03:34:19 UTC,Cadillac,8,DeVille
2022-05-06,2022-05-15 13:58:33 UTC,Chevrolet,27,Astro
2022-01-11,2022-02-09 18:31:45 UTC,Ford,5,Contour
2022-06-13,2022-06-26 06:33:25 UTC,Cadillac,9,Sixty Special
2022-02-04,2022-03-01 07:55:25 UTC,Chevrolet,5,Impala
2022-07-10,2022-07-24 10:33:14 UTC,Chevrolet,14,Silverado 1500
2022-03-29,2022-04-03 10:18:52 UTC,Porsche,23,Cayman
2021-11-19,2021-11-30 02:35:21 UTC,Dodge,29,Omni
2021-10-26,2021-10-27 01:32:10 UTC,Chevrolet,30,Avalanche 1500
2022-03-26,2022-04-09 01:28:49 UTC,Pontiac,5,Vibe
2022-02-06,2022-02-09 04:44:31 UTC,Bentley,21,Continental GT
2022-06-29,2022-07-21 11:19:57 UTC,Saab,26,900
2021-10-29,2021-11-17 03:39:47 UTC,Acura,16,Integra
2021-10-28,2021-10-29 09:53:50 UTC,Porsche,29,944
2022-05-27,2022-06-17 21:05:26 UTC,Mercury,10,Marauder
2021-12-07,2022-01-04 12:24:39 UTC,Infiniti,13,J
2022-07-30,2022-07-31 02:29:08 UTC,Mercedes-Benz,24,E-Class
2022-04-14,2022-04-29 02:57:54 UTC,Mitsubishi,22,Galant
2021-11-24,2021-12-13 06:38:40 UTC,Chevrolet,23,G-Series 2500
2021-10-18,2021-11-14 07:14:35 UTC,Kia,6,Sedona
2022-03-03,2022-03-15 09:57:55 UTC,Volvo,10,C70
2022-04-05,2022-04-08 08:18:04 UTC,Land Rover,20,Discovery
2022-01-27,2022-01-29 15:18:50 UTC,Nissan,22,300ZX
2021-12-24,2021-12-28 17:55:00 UTC,Mazda,30,MX-6
2022-01-17,2022-02-15 12:35:33 UTC,Audi,12,Q7
2022-06-08,2022-07-08 14:24:24 UTC,Suzuki,21,Reno
2022-07-25,2022-08-24 10:06:17 UTC,Mercedes-Benz,8,SL-Class
2021-11-13,2021-11-14 08:45:13 UTC,Mercury,8,Mystique
2022-01-14,2022-01-25 02:23:51 UTC,Buick,24,Regal
2022-03-16,2022-03-20 00:58:55 UTC,Volkswagen,10,Cabriolet
2022-01-27,2022-02-10 15:38:02 UTC,Chevrolet,14,G-Series G20
2021-11-20,2021-12-08 15:56:56 UTC,GMC,6,Suburban 1500
2022-02-26,2022-03-04 01:56:04 UTC,Suzuki,15,Swift
2022-07-19,2022-08-15 01:58:57 UTC,Audi,26,4000CS Quattro
2022-04-07,2022-04-24 10:10:34 UTC,Audi,15,A4
2021-11-09,2021-11-19 07:53:55 UTC,Buick,18,Somerset
2022-05-30,2022-06-08 21:55:33 UTC,Lincoln,18,Mark VIII
2021-12-19,2022-01-07 14:58:51 UTC,Mercury,21,Mountaineer
2021-12-12,2022-01-01 23:16:47 UTC,Dodge,15,Intrepid
2021-10-06,2021-10-08 16:40:13 UTC,Oldsmobile,8,Intrigue
2022-03-26,2022-04-12 08:14:14 UTC,Hyundai,20,Elantra
2022-01-29,2022-02-23 01:08:40 UTC,Chevrolet,12,Corvette
2021-10-27,2021-11-24 04:11:34 UTC,Chevrolet,25,Cavalier
2022-07-19,2022-08-16 22:40:36 UTC,Pontiac,17,Grand Prix
2021-12-14,2021-12-19 13:28:23 UTC,Honda,19,Accord
2021-10-13,2021-11-11 14:23:58 UTC,Dodge,7,Dakota
2022-04-24,2022-05-12 03:17:28 UTC,Mercedes-Benz,29,SLR McLaren
2021-12-05,2022-01-03 11:01:25 UTC,Audi,27,riolet
2022-07-16,2022-07-27 21:15:11 UTC,Hyundai,6,XG350
2021-12-30,2022-01-02 22:58:50 UTC,Audi,11,A5
2021-11-23,2021-12-21 22:52:02 UTC,Chrysler,11,PT Cruiser
2022-07-15,2022-08-02 13:41:39 UTC,Isuzu,29,Trooper
2021-11-04,2021-11-12 21:29:48 UTC,Mitsubishi,28,Mirage
2022-05-05,2022-05-17 12:40:09 UTC,Lincoln,19,Continental Mark VII
2022-04-04,2022-04-16 01:36:55 UTC,Acura,27,SLX
2022-01-04,2022-01-12 11:43:49 UTC,Saturn,28,Relay
2021-11-29,2021-12-25 01:24:14 UTC,Ford,29,Escort
2022-01-20,2022-02-02 14:45:17 UTC,Dodge,27,Caravan
2021-09-07,2021-09-17 16:02:59 UTC,Chevrolet,13,Corvette
2021-09-17,2021-10-13 07:58:24 UTC,Mercedes-Benz,5,600SEL
2022-01-06,2022-02-04 10:34:40 UTC,Jeep,6,Grand Cherokee
2022-04-23,2022-04-26 21:38:29 UTC,Mazda,21,MX-5
2021-12-02,2021-12-28 00:20:57 UTC,Ford,20,Econoline E350
2022-07-05,2022-07-28 09:49:19 UTC,Nissan,9,Maxima
2021-11-01,2021-11-22 12:08:22 UTC,Volvo,8,V70
